cluster_id	group
0	noise
1	mua
2	noise
3	noise
4	mua
5	noise
6	good
7	noise
8	noise
9	noise
10	noise
11	good
12	noise
13	good
14	good
15	noise
16	noise
17	noise
18	mua
19	noise
21	noise
22	noise
23	good
24	noise
25	good
26	noise
27	noise
28	noise
29	good
30	noise
31	noise
32	good
33	noise
34	noise
35	mua
36	good
37	noise
38	good
39	noise
40	good
41	noise
42	noise
43	mua
44	good
45	mua
46	good
47	good
48	noise
49	noise
50	mua
51	noise
52	noise
53	noise
54	noise
55	noise
56	noise
57	noise
58	good
59	good
60	mua
61	noise
62	noise
63	noise
64	mua
65	noise
68	noise
69	noise
72	noise
73	noise
74	mua
75	good
76	noise
77	noise
78	noise
79	mua
80	noise
81	noise
82	noise
83	noise
84	noise
85	good
86	good
87	noise
88	noise
89	good
90	noise
91	noise
92	noise
93	noise
94	noise
95	mua
96	good
98	noise
99	mua
100	noise
101	noise
102	noise
103	noise
104	noise
105	noise
106	noise
107	mua
108	noise
109	noise
110	noise
111	noise
112	noise
113	noise
114	noise
115	good
116	good
117	noise
118	good
119	mua
120	noise
121	noise
122	noise
124	noise
125	noise
126	noise
127	noise
128	noise
129	noise
130	noise
131	good
132	noise
133	noise
134	noise
135	mua
136	noise
137	good
138	mua
139	mua
142	noise
143	noise
144	mua
148	mua
150	mua
151	mua
152	mua
155	mua
164	mua
165	mua
173	mua
174	noise
